iter	Passed	Remaining
911	1659	160
912	1661	158
913	1663	156
914	1664	154
915	1666	152
916	1667	150
917	1669	149
918	1670	147
919	1672	145
920	1673	143
921	1674	141
922	1676	139
923	1678	138
924	1680	136
925	1682	134
926	1683	132
927	1685	130
928	1686	128
929	1687	127
930	1689	125
931	1690	123
932	1692	121
933	1694	119
934	1695	117
935	1697	116
936	1698	114
937	1699	112
938	1700	110
939	1702	108
940	1703	106
941	1704	104
942	1706	103
943	1707	101
944	1709	99
945	1711	97
946	1712	95
947	1714	94
948	1715	92
949	1716	90
950	1718	88
951	1719	86
952	1721	84
953	1722	83
954	1724	81
955	1725	79
956	1727	77
957	1728	75
958	1729	73
959	1731	72
960	1733	70
961	1735	68
962	1736	66
963	1738	64
964	1740	63
965	1741	61
966	1743	59
967	1744	57
968	1745	55
969	1747	54
970	1748	52
971	1749	50
972	1751	48
973	1752	46
974	1755	45
975	1757	43
976	1759	41
977	1760	39
978	1762	37
979	1763	35
980	1765	34
981	1766	32
982	1768	30
983	1770	28
984	1772	26
985	1774	25
986	1775	23
987	1776	21
988	1778	19
989	1779	17
990	1780	16
991	1781	14
992	1782	12
993	1784	10
994	1786	8
995	1787	7
996	1789	5
997	1791	3
998	1792	1
999	1794	0
